track_name,artist_name,year,popularity,album_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,language
Um Pouco De Amor (Un Poco De Amor) - Portugues,Shakira,1997,6,The Remixes,0.0466,0.837,232960.0,0.669,9.85e-06,11.0,0.0567,-9.877,1.0,0.0405,101.541,4.0,0.854,English
Estoy Aquí - Timbalero Dub,Shakira,1997,12,The Remixes,0.00961,0.781,366360.0,0.859,0.0373,9.0,0.0674,-8.051,0.0,0.0579,123.476,4.0,0.601,English
Un Poco De Amor - Meme's Jazz Experience,Shakira,1997,12,The Remixes,0.00726,0.661,282933.0,0.734,0.0,1.0,0.116,-7.933,0.0,0.2,202.497,4.0,0.552,English
"Pies Descalzos, Sueños Blancos - The Timbalero Dub '97",Shakira,1997,12,The Remixes,0.00757,0.823,398173.0,0.79,0.848,6.0,0.0837,-9.337,1.0,0.0637,123.787,4.0,0.539,English
Donde Estas Corazon - Dub-A-Pella Mix,Shakira,1997,11,The Remixes,0.028,0.774,401480.0,0.859,0.071,9.0,0.141,-9.84,0.0,0.0462,121.599,4.0,0.679,English
Method of Madness - Remaster 2022,House of Shakira,1997,2,Lint XXV,0.0134,0.638,202626.0,0.745,0.0,6.0,0.0704,-5.858,1.0,0.0366,138.292,4.0,0.683,English
Canned Laughter - Remaster 2022,House of Shakira,1997,0,Lint XXV,0.0103,0.702,207134.0,0.817,0.0,8.0,0.0554,-6.347,1.0,0.0331,101.262,4.0,0.763,English
Lint - Remaster 2022,House of Shakira,1997,0,Lint XXV,0.00962,0.411,246033.0,0.803,0.0,6.0,0.185,-5.929,1.0,0.0466,125.171,5.0,0.645,English
Lint - Demo Session,"House of Shakira, Mikael Eriksson",1997,0,Lint XXV,0.015,0.603,247548.0,0.815,0.0,7.0,0.131,-6.052,1.0,0.0417,94.06,4.0,0.602,English
Who's Lying Now - Remaster 2022,House of Shakira,1997,0,Lint XXV,0.000893,0.594,269485.0,0.743,0.0,11.0,0.306,-5.953,1.0,0.0289,135.197,4.0,0.466,English
Canned Laughter - Demo Session,"House of Shakira, Mikael Eriksson",1997,0,Lint XXV,0.00787,0.764,210999.0,0.79,0.00189,9.0,0.273,-5.602,1.0,0.0402,99.83,4.0,0.912,English
Morning over Morocco - Demo Session,"House of Shakira, Mikael Eriksson",1997,0,Lint XXV,0.00391,0.642,214456.0,0.907,4.55e-06,9.0,0.035,-4.383,1.0,0.108,116.906,4.0,0.581,English
Elephant Gun - Remaster 2022,House of Shakira,1997,0,Lint XXV,0.0088,0.701,285918.0,0.838,0.0,8.0,0.237,-5.983,1.0,0.0329,129.189,4.0,0.916,English
Our Love Was Good - Remaster 2022,House of Shakira,1997,0,Lint XXV,9.32e-05,0.588,235118.0,0.741,0.0,8.0,0.194,-6.755,1.0,0.0277,113.16,4.0,0.527,English
Remember - Remaster 2022,House of Shakira,1997,0,Lint XXV,0.0411,0.703,279163.0,0.637,0.0,8.0,0.11,-7.993,0.0,0.03,114.287,4.0,0.432,English
Our Love Was Good - Demo Session,"House of Shakira, Mikael Eriksson",1997,0,Lint XXV,0.00383,0.622,268004.0,0.745,8.66e-06,9.0,0.18,-7.267,1.0,0.0318,114.156,4.0,0.471,English
Who's Lying Now - Demo Session,"House of Shakira, Mikael Eriksson",1997,0,Lint XXV,0.0205,0.64,251997.0,0.7,0.0,7.0,0.0933,-6.346,1.0,0.0287,135.839,4.0,0.491,English
Elephant Gun - Demo Session,"House of Shakira, Mikael Eriksson",1997,0,Lint XXV,0.0197,0.771,279347.0,0.905,6.81e-06,9.0,0.241,-5.924,1.0,0.0398,129.844,4.0,0.855,English
The Story's the Same - Demo Session,"House of Shakira, Mikael Eriksson",1997,0,Lint XXV,0.0244,0.416,273058.0,0.594,0.000788,9.0,0.136,-5.42,1.0,0.0318,139.714,3.0,0.358,English
Nr8 - Demo Session,"House of Shakira, Mikael Eriksson",1997,0,Lint XXV,0.242,0.619,298101.0,0.537,2.59e-06,7.0,0.349,-6.055,1.0,0.0255,99.755,4.0,0.411,English
The Story's the Same - Remaster 2022,House of Shakira,1997,0,Lint XXV,0.021,0.536,266979.0,0.517,0.0,8.0,0.138,-6.004,1.0,0.0304,141.07,3.0,0.299,English
Remember - Demo Session,House of Shakira,1997,0,Lint XXV,0.0982,0.745,274001.0,0.583,7e-05,9.0,0.088,-5.211,0.0,0.0283,113.991,4.0,0.348,English
No8 - Remaster 2022,House of Shakira,1997,0,Lint XXV,0.0152,0.504,248035.0,0.532,0.0,6.0,0.0593,-6.874,1.0,0.0248,100.183,4.0,0.391,English
Method of Madness - Demo Session,"House of Shakira, Mikael Eriksson",1997,0,Lint XXV,0.0189,0.754,234634.0,0.756,0.0289,7.0,0.0335,-6.139,1.0,0.0492,134.697,4.0,0.925,English
Morning over Morocco - Remaster 2022,House of Shakira,1997,1,Lint XXV,0.00139,0.567,210947.0,0.904,0.0,8.0,0.0348,-5.452,1.0,0.0604,118.186,4.0,0.545,English
Everything's Fine - Demo Session,"House of Shakira, Mikael Eriksson",1997,0,Lint XXV,0.83,0.624,298146.0,0.326,0.0,2.0,0.14,-6.214,1.0,0.0246,97.002,4.0,0.483,English
Everything's Fine - Remaster 2022,House of Shakira,1997,0,Lint XXV,0.818,0.571,330051.0,0.275,0.0,1.0,0.168,-8.1,1.0,0.0269,96.725,4.0,0.377,English
Inevitable,Shakira,1998,79,Donde Estan Los Ladrones,0.269,0.595,192867.0,0.461,0.000149,6.0,0.123,-7.786,1.0,0.0641,91.976,4.0,0.338,English
"Ciega, Sordomuda",Shakira,1998,73,Donde Estan Los Ladrones,0.0438,0.746,267827.0,0.876,2.51e-06,1.0,0.112,-6.042,1.0,0.0345,119.97,4.0,0.928,English
Si Te Vas,Shakira,1998,69,Donde Estan Los Ladrones,0.0431,0.677,210267.0,0.897,0.0,2.0,0.264,-5.458,1.0,0.0393,107.78,4.0,0.828,English
Tú,Shakira,1998,67,Donde Estan Los Ladrones,0.714,0.567,214133.0,0.333,4.53e-06,0.0,0.25,-8.818,1.0,0.0258,139.807,4.0,0.208,English
Ojos Así,Shakira,1998,64,Donde Estan Los Ladrones,0.15,0.717,235733.0,0.952,0.0,6.0,0.166,-4.902,1.0,0.0481,126.993,4.0,0.665,English
Moscas en la Casa,Shakira,1998,63,Donde Estan Los Ladrones,0.714,0.802,211907.0,0.313,1.16e-05,0.0,0.111,-12.157,1.0,0.0288,104.931,4.0,0.487,English
No Creo,Shakira,1998,57,Donde Estan Los Ladrones,0.0362,0.669,232200.0,0.885,0.0,2.0,0.13,-5.462,1.0,0.0497,123.94,4.0,0.627,English
Dónde Están los Ladrones,Shakira,1998,56,Donde Estan Los Ladrones,0.0166,0.629,193067.0,0.773,1.5e-05,9.0,0.196,-6.035,1.0,0.0272,121.941,4.0,0.524,English
Octavo Día,Shakira,1998,56,Donde Estan Los Ladrones,0.308,0.505,271400.0,0.663,5.79e-05,2.0,0.216,-5.904,1.0,0.0341,80.761,4.0,0.208,English
Que Vuelvas,Shakira,1998,55,Donde Estan Los Ladrones,0.0185,0.688,230800.0,0.917,0.00241,2.0,0.0712,-7.449,1.0,0.0314,123.873,4.0,0.788,English
Sombra de Ti,Shakira,1998,53,Donde Estan Los Ladrones,0.693,0.632,213760.0,0.414,0.000577,11.0,0.11,-13.45,0.0,0.033,109.198,4.0,0.169,English
Estoy Aquí - Extended Club Mix,Shakira,1998,1,Latin Mix USA,0.00862,0.804,570533.0,0.847,2.74e-05,2.0,0.0917,-6.052,1.0,0.0535,123.48,4.0,0.712,English
Inevitable - En Vivo,Shakira,2000,44,Shakira MTV Unplugged,0.384,0.435,219467.0,0.704,0.00308,6.0,0.886,-5.071,1.0,0.118,90.005,4.0,0.35,English
Moscas En La Casa - En Vivo,Shakira,2000,41,Shakira MTV Unplugged,0.656,0.664,232667.0,0.538,0.0,0.0,0.916,-9.698,1.0,0.0375,109.293,4.0,0.454,English
Si Te Vas - En Vivo,Shakira,2000,39,Shakira MTV Unplugged,0.291,0.578,218533.0,0.948,2.45e-05,4.0,0.979,-4.943,0.0,0.0588,111.259,4.0,0.701,English
Ojos Así - En Vivo,Shakira,2000,39,Shakira MTV Unplugged,0.43,0.589,410000.0,0.864,0.00167,6.0,0.995,-7.512,0.0,0.144,131.029,4.0,0.334,English
